TITLE = "FUNC"
VARIABLES = "X", "Y", "F"
ZONE I=26, J=11, F=POINT
0.0000000000000e+000 0.0000000000000e+000 1.0000008473000e+000
2.0000000000000e-002 0.0000000000000e+000 1.0000008473000e+000
4.0000000000000e-002 0.0000000000000e+000 1.0000008473000e+000
6.0000000000000e-002 0.0000000000000e+000 1.0000008473000e+000
8.0000000000000e-002 0.0000000000000e+000 1.0000008473000e+000
1.0000000000000e-001 0.0000000000000e+000 1.0000008473000e+000
1.2000000000000e-001 0.0000000000000e+000 1.0000008473000e+000
1.4000000000000e-001 0.0000000000000e+000 1.0000008473000e+000
1.6000000000000e-001 0.0000000000000e+000 1.0000008473000e+000
1.8000000000000e-001 0.0000000000000e+000 1.0000008473000e+000
2.0000000000000e-001 0.0000000000000e+000 1.0000008473000e+000
2.2000000000000e-001 0.0000000000000e+000 1.0000008473000e+000
2.4000000000000e-001 0.0000000000000e+000 1.0000008473000e+000
2.6000000000000e-001 0.0000000000000e+000 1.0000008473000e+000
2.8000000000000e-001 0.0000000000000e+000 1.0000008473000e+000
3.0000000000000e-001 0.0000000000000e+000 1.0000008473000e+000
3.2000000000000e-001 0.0000000000000e+000 1.0000008473000e+000
3.4000000000000e-001 0.0000000000000e+000 1.0000008473000e+000
3.6000000000000e-001 0.0000000000000e+000 1.0000008473000e+000
3.8000000000000e-001 0.0000000000000e+000 1.0000008473000e+000
4.0000000000000e-001 0.0000000000000e+000 1.0000008473000e+000
4.2000000000000e-001 0.0000000000000e+000 1.0000008473000e+000
4.4000000000000e-001 0.0000000000000e+000 1.0000008473000e+000
4.6000000000000e-001 0.0000000000000e+000 1.0000008473000e+000
4.8000000000000e-001 0.0000000000000e+000 1.0000008473000e+000
5.0000000000000e-001 0.0000000000000e+000 9.9845706037310e-001
0.0000000000000e+000 2.0000000000000e-002 6.6690368640456e-001
2.0000000000000e-002 2.0000000000000e-002 6.6690368640456e-001
4.0000000000000e-002 2.0000000000000e-002 6.6690368640456e-001
6.0000000000000e-002 2.0000000000000e-002 6.6690368640456e-001
8.0000000000000e-002 2.0000000000000e-002 6.6690368640456e-001
1.0000000000000e-001 2.0000000000000e-002 6.6690368640456e-001
1.2000000000000e-001 2.0000000000000e-002 6.6690368640456e-001
1.4000000000000e-001 2.0000000000000e-002 6.6690368640456e-001
1.6000000000000e-001 2.0000000000000e-002 6.6690368640456e-001
1.8000000000000e-001 2.0000000000000e-002 6.6690368640456e-001
2.0000000000000e-001 2.0000000000000e-002 6.6690368640456e-001
2.2000000000000e-001 2.0000000000000e-002 6.6690368640456e-001
2.4000000000000e-001 2.0000000000000e-002 6.6690368640456e-001
2.6000000000000e-001 2.0000000000000e-002 6.6690368640456e-001
2.8000000000000e-001 2.0000000000000e-002 6.6690368640456e-001
3.0000000000000e-001 2.0000000000000e-002 6.6690368640456e-001
3.2000000000000e-001 2.0000000000000e-002 6.6690368640456e-001
3.4000000000000e-001 2.0000000000000e-002 6.6690368640456e-001
3.6000000000000e-001 2.0000000000000e-002 6.6690368640456e-001
3.8000000000000e-001 2.0000000000000e-002 6.6690368640456e-001
4.0000000000000e-001 2.0000000000000e-002 6.6690368640456e-001
4.2000000000000e-001 2.0000000000000e-002 6.6690368640456e-001
4.4000000000000e-001 2.0000000000000e-002 6.6690368640456e-001
4.6000000000000e-001 2.0000000000000e-002 6.6690368640456e-001
4.8000000000000e-001 2.0000000000000e-002 6.6690368640456e-001
5.0000000000000e-001 2.0000000000000e-002 6.6587393537500e-001
0.0000000000000e+000 4.0000000000000e-002 4.7863146646380e-001
2.0000000000000e-002 4.0000000000000e-002 4.7863146646380e-001
4.0000000000000e-002 4.0000000000000e-002 4.7863146646380e-001
6.0000000000000e-002 4.0000000000000e-002 4.7863146646380e-001
8.0000000000000e-002 4.0000000000000e-002 4.7863146646380e-001
1.0000000000000e-001 4.0000000000000e-002 4.7863146646380e-001
1.2000000000000e-001 4.0000000000000e-002 4.7863146646380e-001
1.4000000000000e-001 4.0000000000000e-002 4.7863146646380e-001
1.6000000000000e-001 4.0000000000000e-002 4.7863146646380e-001
1.8000000000000e-001 4.0000000000000e-002 4.7863146646380e-001
2.0000000000000e-001 4.0000000000000e-002 4.7863146646380e-001
2.2000000000000e-001 4.0000000000000e-002 4.7863146646380e-001
2.4000000000000e-001 4.0000000000000e-002 4.7863146646380e-001
2.6000000000000e-001 4.0000000000000e-002 4.7863146646380e-001
2.8000000000000e-001 4.0000000000000e-002 4.7863146646380e-001
3.0000000000000e-001 4.0000000000000e-002 4.7863146646380e-001
3.2000000000000e-001 4.0000000000000e-002 4.7863146646380e-001
3.4000000000000e-001 4.0000000000000e-002 4.7863146646380e-001
3.6000000000000e-001 4.0000000000000e-002 4.7863146646380e-001
3.8000000000000e-001 4.0000000000000e-002 4.7863146646380e-001
4.0000000000000e-001 4.0000000000000e-002 4.7863146646380e-001
4.2000000000000e-001 4.0000000000000e-002 4.7863146646380e-001
4.4000000000000e-001 4.0000000000000e-002 4.7863146646380e-001
4.6000000000000e-001 4.0000000000000e-002 4.7863146646380e-001
4.8000000000000e-001 4.0000000000000e-002 4.7863146646380e-001
5.0000000000000e-001 4.0000000000000e-002 4.7760102365923e-001
0.0000000000000e+000 6.0000000000000e-002 2.4708827410892e-001
2.0000000000000e-002 6.0000000000000e-002 2.4708827410892e-001
4.0000000000000e-002 6.0000000000000e-002 2.4708827410892e-001
6.0000000000000e-002 6.0000000000000e-002 2.4708827410892e-001
8.0000000000000e-002 6.0000000000000e-002 2.4708827410892e-001
1.0000000000000e-001 6.0000000000000e-002 2.4708827410892e-001
1.2000000000000e-001 6.0000000000000e-002 2.4708827410892e-001
1.4000000000000e-001 6.0000000000000e-002 2.4708827410892e-001
1.6000000000000e-001 6.0000000000000e-002 2.4708827410892e-001
1.8000000000000e-001 6.0000000000000e-002 2.4708827410892e-001
2.0000000000000e-001 6.0000000000000e-002 2.4708827410892e-001
2.2000000000000e-001 6.0000000000000e-002 2.4708827410892e-001
2.4000000000000e-001 6.0000000000000e-002 2.4708827410892e-001
2.6000000000000e-001 6.0000000000000e-002 2.4708827410892e-001
2.8000000000000e-001 6.0000000000000e-002 2.4708827410892e-001
3.0000000000000e-001 6.0000000000000e-002 2.4708827410892e-001
3.2000000000000e-001 6.0000000000000e-002 2.4708827410892e-001
3.4000000000000e-001 6.0000000000000e-002 2.4708827410892e-001
3.6000000000000e-001 6.0000000000000e-002 2.4708827410892e-001
3.8000000000000e-001 6.0000000000000e-002 2.4708827410892e-001
4.0000000000000e-001 6.0000000000000e-002 2.4708827410892e-001
4.2000000000000e-001 6.0000000000000e-002 2.4708827410892e-001
4.4000000000000e-001 6.0000000000000e-002 2.4708827410892e-001
4.6000000000000e-001 6.0000000000000e-002 2.4708827410892e-001
4.8000000000000e-001 6.0000000000000e-002 2.4708827410892e-001
5.0000000000000e-001 6.0000000000000e-002 2.4624559448903e-001
0.0000000000000e+000 8.0000000000000e-002 1.2527219517498e-001
2.0000000000000e-002 8.0000000000000e-002 1.2527219517498e-001
4.0000000000000e-002 8.0000000000000e-002 1.2527219517498e-001
6.0000000000000e-002 8.0000000000000e-002 1.2527219517498e-001
8.0000000000000e-002 8.0000000000000e-002 1.2527219517498e-001
1.0000000000000e-001 8.0000000000000e-002 1.2527219517498e-001
1.2000000000000e-001 8.0000000000000e-002 1.2527219517498e-001
1.4000000000000e-001 8.0000000000000e-002 1.2527219517498e-001
1.6000000000000e-001 8.0000000000000e-002 1.2527219517498e-001
1.8000000000000e-001 8.0000000000000e-002 1.2527219517498e-001
2.0000000000000e-001 8.0000000000000e-002 1.2527219517498e-001
2.2000000000000e-001 8.0000000000000e-002 1.2527219517498e-001
2.4000000000000e-001 8.0000000000000e-002 1.2527219517498e-001
2.6000000000000e-001 8.0000000000000e-002 1.2527219517498e-001
2.8000000000000e-001 8.0000000000000e-002 1.2527219517498e-001
3.0000000000000e-001 8.0000000000000e-002 1.2527219517498e-001
3.2000000000000e-001 8.0000000000000e-002 1.2527219517498e-001
3.4000000000000e-001 8.0000000000000e-002 1.2527219517498e-001
3.6000000000000e-001 8.0000000000000e-002 1.2527219517498e-001
3.8000000000000e-001 8.0000000000000e-002 1.2527219517498e-001
4.0000000000000e-001 8.0000000000000e-002 1.2527219517498e-001
4.2000000000000e-001 8.0000000000000e-002 1.2527219517498e-001
4.4000000000000e-001 8.0000000000000e-002 1.2527219517498e-001
4.6000000000000e-001 8.0000000000000e-002 1.2527219517498e-001
4.8000000000000e-001 8.0000000000000e-002 1.2527219517498e-001
5.0000000000000e-001 8.0000000000000e-002 1.2449107736169e-001
0.0000000000000e+000 1.0000000000000e-001 5.9800243568185e-002
2.0000000000000e-002 1.0000000000000e-001 5.9800243568185e-002
4.0000000000000e-002 1.0000000000000e-001 5.9800243568185e-002
6.0000000000000e-002 1.0000000000000e-001 5.9800243568185e-002
8.0000000000000e-002 1.0000000000000e-001 5.9800243568185e-002
1.0000000000000e-001 1.0000000000000e-001 5.9800243568185e-002
1.2000000000000e-001 1.0000000000000e-001 5.9800243568185e-002
1.4000000000000e-001 1.0000000000000e-001 5.9800243568185e-002
1.6000000000000e-001 1.0000000000000e-001 5.9800243568185e-002
1.8000000000000e-001 1.0000000000000e-001 5.9800243568185e-002
2.0000000000000e-001 1.0000000000000e-001 5.9800243568185e-002
2.2000000000000e-001 1.0000000000000e-001 5.9800243568185e-002
2.4000000000000e-001 1.0000000000000e-001 5.9800243568185e-002
2.6000000000000e-001 1.0000000000000e-001 5.9800243568185e-002
2.8000000000000e-001 1.0000000000000e-001 5.9800243568185e-002
3.0000000000000e-001 1.0000000000000e-001 5.9800243568185e-002
3.2000000000000e-001 1.0000000000000e-001 5.9800243568185e-002
3.4000000000000e-001 1.0000000000000e-001 5.9800243568185e-002
3.6000000000000e-001 1.0000000000000e-001 5.9800243568185e-002
3.8000000000000e-001 1.0000000000000e-001 5.9800243568185e-002
4.0000000000000e-001 1.0000000000000e-001 5.9800243568185e-002
4.2000000000000e-001 1.0000000000000e-001 5.9800243568185e-002
4.4000000000000e-001 1.0000000000000e-001 5.9800243568185e-002
4.6000000000000e-001 1.0000000000000e-001 5.9800243568185e-002
4.8000000000000e-001 1.0000000000000e-001 5.9800243568185e-002
5.0000000000000e-001 1.0000000000000e-001 5.9023730572709e-002
0.0000000000000e+000 1.2000000000000e-001 5.0672829611893e-002
2.0000000000000e-002 1.2000000000000e-001 5.0672829611893e-002
4.0000000000000e-002 1.2000000000000e-001 5.0672829611893e-002
6.0000000000000e-002 1.2000000000000e-001 5.0672829611893e-002
8.0000000000000e-002 1.2000000000000e-001 5.0672829611893e-002
1.0000000000000e-001 1.2000000000000e-001 5.0672829611893e-002
1.2000000000000e-001 1.2000000000000e-001 5.0672829611893e-002
1.4000000000000e-001 1.2000000000000e-001 5.0672829611893e-002
1.6000000000000e-001 1.2000000000000e-001 5.0672829611893e-002
1.8000000000000e-001 1.2000000000000e-001 5.0672829611893e-002
2.0000000000000e-001 1.2000000000000e-001 5.0672829611893e-002
2.2000000000000e-001 1.2000000000000e-001 5.0672829611893e-002
2.4000000000000e-001 1.2000000000000e-001 5.0672829611893e-002
2.6000000000000e-001 1.2000000000000e-001 5.0672829611893e-002
2.8000000000000e-001 1.2000000000000e-001 5.0672829611893e-002
3.0000000000000e-001 1.2000000000000e-001 5.0672829611893e-002
3.2000000000000e-001 1.2000000000000e-001 5.0672829611893e-002
3.4000000000000e-001 1.2000000000000e-001 5.0672829611893e-002
3.6000000000000e-001 1.2000000000000e-001 5.0672829611893e-002
3.8000000000000e-001 1.2000000000000e-001 5.0672829611893e-002
4.0000000000000e-001 1.2000000000000e-001 5.0672829611893e-002
4.2000000000000e-001 1.2000000000000e-001 5.0672829611893e-002
4.4000000000000e-001 1.2000000000000e-001 5.0672829611893e-002
4.6000000000000e-001 1.2000000000000e-001 5.0672829611893e-002
4.8000000000000e-001 1.2000000000000e-001 5.0672829611893e-002
5.0000000000000e-001 1.2000000000000e-001 4.9605702971494e-002
0.0000000000000e+000 1.4000000000000e-001 9.0352738590175e-002
2.0000000000000e-002 1.4000000000000e-001 9.0352738590175e-002
4.0000000000000e-002 1.4000000000000e-001 9.0352738590175e-002
6.0000000000000e-002 1.4000000000000e-001 9.0352738590175e-002
8.0000000000000e-002 1.4000000000000e-001 9.0352738590175e-002
1.0000000000000e-001 1.4000000000000e-001 9.0352738590175e-002
1.2000000000000e-001 1.4000000000000e-001 9.0352738590175e-002
1.4000000000000e-001 1.4000000000000e-001 9.0352738590175e-002
1.6000000000000e-001 1.4000000000000e-001 9.0352738590175e-002
1.8000000000000e-001 1.4000000000000e-001 9.0352738590175e-002
2.0000000000000e-001 1.4000000000000e-001 9.0352738590175e-002
2.2000000000000e-001 1.4000000000000e-001 9.0352738590175e-002
2.4000000000000e-001 1.4000000000000e-001 9.0352738590175e-002
2.6000000000000e-001 1.4000000000000e-001 9.0352738590175e-002
2.8000000000000e-001 1.4000000000000e-001 9.0352738590175e-002
3.0000000000000e-001 1.4000000000000e-001 9.0352738590175e-002
3.2000000000000e-001 1.4000000000000e-001 9.0352738590175e-002
3.4000000000000e-001 1.4000000000000e-001 9.0352738590175e-002
3.6000000000000e-001 1.4000000000000e-001 9.0352738590175e-002
3.8000000000000e-001 1.4000000000000e-001 9.0352738590175e-002
4.0000000000000e-001 1.4000000000000e-001 9.0352738590175e-002
4.2000000000000e-001 1.4000000000000e-001 9.0352738590175e-002
4.4000000000000e-001 1.4000000000000e-001 9.0352738590175e-002
4.6000000000000e-001 1.4000000000000e-001 9.0352738590175e-002
4.8000000000000e-001 1.4000000000000e-001 9.0352738590175e-002
5.0000000000000e-001 1.4000000000000e-001 8.8539505771689e-002
0.0000000000000e+000 1.6000000000000e-001 1.9495275678263e-001
2.0000000000000e-002 1.6000000000000e-001 1.9495275678263e-001
4.0000000000000e-002 1.6000000000000e-001 1.9495275678263e-001
6.0000000000000e-002 1.6000000000000e-001 1.9495275678263e-001
8.0000000000000e-002 1.6000000000000e-001 1.9495275678263e-001
1.0000000000000e-001 1.6000000000000e-001 1.9495275678263e-001
1.2000000000000e-001 1.6000000000000e-001 1.9495275678263e-001
1.4000000000000e-001 1.6000000000000e-001 1.9495275678263e-001
1.6000000000000e-001 1.6000000000000e-001 1.9495275678263e-001
1.8000000000000e-001 1.6000000000000e-001 1.9495275678263e-001
2.0000000000000e-001 1.6000000000000e-001 1.9495275678263e-001
2.2000000000000e-001 1.6000000000000e-001 1.9495275678263e-001
2.4000000000000e-001 1.6000000000000e-001 1.9495275678263e-001
2.6000000000000e-001 1.6000000000000e-001 1.9495275678263e-001
2.8000000000000e-001 1.6000000000000e-001 1.9495275678263e-001
3.0000000000000e-001 1.6000000000000e-001 1.9495275678263e-001
3.2000000000000e-001 1.6000000000000e-001 1.9495275678263e-001
3.4000000000000e-001 1.6000000000000e-001 1.9495275678263e-001
3.6000000000000e-001 1.6000000000000e-001 1.9495275678263e-001
3.8000000000000e-001 1.6000000000000e-001 1.9495275678263e-001
4.0000000000000e-001 1.6000000000000e-001 1.9495275678263e-001
4.2000000000000e-001 1.6000000000000e-001 1.9495275678263e-001
4.4000000000000e-001 1.6000000000000e-001 1.9495275678263e-001
4.6000000000000e-001 1.6000000000000e-001 1.9495275678263e-001
4.8000000000000e-001 1.6000000000000e-001 1.9495275678263e-001
5.0000000000000e-001 1.6000000000000e-001 1.9190173007933e-001
0.0000000000000e+000 1.8000000000000e-001 3.8472321728352e-001
2.0000000000000e-002 1.8000000000000e-001 3.8472321728352e-001
4.0000000000000e-002 1.8000000000000e-001 3.8472321728352e-001
6.0000000000000e-002 1.8000000000000e-001 3.8472321728352e-001
8.0000000000000e-002 1.8000000000000e-001 3.8472321728352e-001
1.0000000000000e-001 1.8000000000000e-001 3.8472321728352e-001
1.2000000000000e-001 1.8000000000000e-001 3.8472321728352e-001
1.4000000000000e-001 1.8000000000000e-001 3.8472321728352e-001
1.6000000000000e-001 1.8000000000000e-001 3.8472321728352e-001
1.8000000000000e-001 1.8000000000000e-001 3.8472321728352e-001
2.0000000000000e-001 1.8000000000000e-001 3.8472321728352e-001
2.2000000000000e-001 1.8000000000000e-001 3.8472321728352e-001
2.4000000000000e-001 1.8000000000000e-001 3.8472321728352e-001
2.6000000000000e-001 1.8000000000000e-001 3.8472321728352e-001
2.8000000000000e-001 1.8000000000000e-001 3.8472321728352e-001
3.0000000000000e-001 1.8000000000000e-001 3.8472321728352e-001
3.2000000000000e-001 1.8000000000000e-001 3.8472321728352e-001
3.4000000000000e-001 1.8000000000000e-001 3.8472321728352e-001
3.6000000000000e-001 1.8000000000000e-001 3.8472321728352e-001
3.8000000000000e-001 1.8000000000000e-001 3.8472321728352e-001
4.0000000000000e-001 1.8000000000000e-001 3.8472321728352e-001
4.2000000000000e-001 1.8000000000000e-001 3.8472321728352e-001
4.4000000000000e-001 1.8000000000000e-001 3.8472321728352e-001
4.6000000000000e-001 1.8000000000000e-001 3.8472321728352e-001
4.8000000000000e-001 1.8000000000000e-001 3.8472321728352e-001
5.0000000000000e-001 1.8000000000000e-001 3.8306071417661e-001
0.0000000000000e+000 2.0000000000000e-001 6.6383865362319e-001
2.0000000000000e-002 2.0000000000000e-001 6.6383865362319e-001
4.0000000000000e-002 2.0000000000000e-001 6.6383865362319e-001
6.0000000000000e-002 2.0000000000000e-001 6.6383865362319e-001
8.0000000000000e-002 2.0000000000000e-001 6.6383865362319e-001
1.0000000000000e-001 2.0000000000000e-001 6.6383865362319e-001
1.2000000000000e-001 2.0000000000000e-001 6.6383865362319e-001
1.4000000000000e-001 2.0000000000000e-001 6.6383865362319e-001
1.6000000000000e-001 2.0000000000000e-001 6.6383865362319e-001
1.8000000000000e-001 2.0000000000000e-001 6.6383865362319e-001
2.0000000000000e-001 2.0000000000000e-001 6.6383865362319e-001
2.2000000000000e-001 2.0000000000000e-001 6.6383865362319e-001
2.4000000000000e-001 2.0000000000000e-001 6.6383865362319e-001
2.6000000000000e-001 2.0000000000000e-001 6.6383865362319e-001
2.8000000000000e-001 2.0000000000000e-001 6.6383865362319e-001
3.0000000000000e-001 2.0000000000000e-001 6.6383865362319e-001
3.2000000000000e-001 2.0000000000000e-001 6.6383865362319e-001
3.4000000000000e-001 2.0000000000000e-001 6.6383865362319e-001
3.6000000000000e-001 2.0000000000000e-001 6.6383865362319e-001
3.8000000000000e-001 2.0000000000000e-001 6.6383865362319e-001
